Q98078773	P155	Q1475460
Q98131841	P155	Q58097247
Q98821930	P155	Q98821939
Q98831687	P156	Q98831686
Q99196094	P361	Q98931298
Q99392289	P1889	Q7719586
Q99395721	P155	Q56615750
Q99481375	P155	Q23899399
Q99592986	P155	Q20856821
Q99864946	P155	Q97185086
Q100292981	P155	Q50414358
Q100292981	P527	Q104849577
Q100292981	P527	Q104849587
Q100292981	P527	Q104849589
Q100293466	P361	Q23308275
Q100706042	P361	Q100705570
Q101087544	P155	Q3530531
Q101087544	P156	Q75497862
Q101130943	P921	Q89411396
Q101210019	P1889	Q101210021
Q101423195	P155	Q70319465
Q101552917	P527	Q101554024
Q101555054	P2860	Q10859095
Q102117797	P1889	Q99650881
Q102180106	P144	Q19347291
Q60617152	P155	Q15621765
Q60738091	P941	Q21528092
Q60738683	P361	Q95880972
Q60840055	P156	Q110324091
Q60840572	P1889	Q22078267
Q60846694	P1889	Q15714351
Q60854169	P1889	Q12151361
Q61051814	P1889	Q4927641
Q61051814	P1889	Q4927643
Q61051814	P1889	Q950700
Q61051814	P1889	Q58815233
Q61051814	P1889	Q4927639
Q61051814	P1889	Q4927640
Q61051814	P1889	Q48672700
Q61051814	P1889	Q2906947
Q61051814	P1889	Q3641039
Q61353569	P279	Q61348803
Q61450800	P156	Q106506391
Q61642181	P1889	Q55605100
Q61819044	P921	Q1686012
Q61951893	P155	Q7534893
Q61971672	P155	Q30950920
Q62761126	P941	Q1194657
Q62824578	P156	Q20647078
Q63226571	P179	Q4243598
Q63252717	P156	Q46717
Q63375316	P361	Q20814768
Q63375316	P156	Q63375393
Q63565898	P921	Q2392956
Q63707641	P144	Q15708907
Q63723973	P156	Q86725850
Q63919331	P155	Q21095079
Q64027971	P155	Q48672477
Q64069446	P155	Q493755
Q69862320	P361	Q20885709
Q69904627	P361	Q20756369
Q70737674	P156	Q70781266
Q71171374	P155	Q71171371
Q72066476	P1889	Q17639957
Q53548839	P155	Q23565900
Q53548839	P156	Q53548856
Q53548856	P155	Q53548839
Q53548856	P156	Q78883181
Q54458694	P1889	Q48674685
Q54458694	P1889	Q4698021
Q54458694	P1889	Q18209109
Q55112070	P156	Q56391402
Q55215615	P1889	Q33369528
Q55215615	P1889	Q20802325
Q55258972	P155	Q832190
Q55597835	P1889	Q56927965
Q55603322	P144	Q1327845
Q55656183	P155	Q24934510
Q56014101	P527	Q106097427
Q56014101	P527	Q106097509
Q56014101	P527	Q106097512
Q56014101	P527	Q106097514
Q56014101	P527	Q106097516
Q56014101	P527	Q106097519
Q56279446	P1889	Q3988565
Q56348078	P361	Q56812463
Q56386793	P156	Q13101644
Q56391402	P155	Q55112070
Q56393485	P155	Q55421750
Q56417472	P156	Q56289511
Q56526000	P1889	Q96394193
Q56529453	P144	Q27959305
Q56559254	P156	Q92176865
Q56753673	P361	Q21869373
Q46995126	P1889	Q6146531
Q47463145	P1889	Q12272858
Q47463966	P144	Q842076
Q47538946	P1889	Q20751342
Q48348286	P527	Q12287670
Q48348286	P527	Q12287671
Q48348286	P527	Q12287669
Q38047976	P361	Q15805169
Q38079032	P361	Q1212516
Q38079034	P361	Q1212516
Q76604720	P144	Q4759981
Q76845125	P155	Q19363977
Q76856926	P155	Q28870401
Q76856926	P156	Q97638280
Q77765845	P155	Q4808148
Q79414442	P361	Q79414383
Q79999282	P1889	Q21010879
Q80120072	P179	Q20811260
Q80318506	P156	Q28058085
Q92176865	P155	Q56559254
Q92313804	P155	Q92313711
Q92313804	P156	Q92314032
Q92635983	P941	Q464933
Q92946436	P361	Q26269987
Q93885902	P800	Q5416630
Q93885902	P800	Q15371315
Q93885902	P800	Q85883401
Q93885902	P155	Q96247376
Q93885902	P156	Q92793580
Q94701733	P361	Q15867712
Q11784709	P1889	Q1783892
Q11791180	P155	Q54990
Q11791180	P156	Q11740608
Q11819900	P1343	Q77855044
Q11835777	P156	Q16600410
Q11853668	P144	Q10688332
Q11854200	P1343	Q77855044
Q12011569	P156	Q3072303
Q12055283	P155	Q5243366
Q12055283	P156	Q12043132
Q12124569	P155	Q7993104
Q12124569	P156	Q4788434
Q12124677	P155	Q7758773
Q12125986	P144	Q6745304
Q12182260	P144	Q3283914
Q12195108	P144	Q1263918
Q12304750	P155	Q12301442
Q12304750	P156	Q28167417
Q12317972	P156	Q7710953
Q12317972	P155	Q19798413
Q12323041	P155	Q12323042
Q12323041	P156	Q20496047
Q12341415	P156	Q12344112
Q12344112	P155	Q12341415
Q12344112	P156	Q16325088
Q12357689	P1889	Q10863829
Q12450971	P1889	Q6471852
Q12523704	P155	Q12523705
Q12523704	P156	Q19744925
Q12621308	P155	Q626528
Q12621308	P156	Q16220391
