Q17529715	P2674	Q99871325
Q17640441	P2673	Q3397125
Q17640441	P2674	Q3397238
Q17642131	P527	Q60981589
Q17772674	P2673	Q12002330
Q17772674	P2673	Q19378587
Q17772674	P2674	Q12003630
Q17775506	P276	Q17775496
Q17853831	P1889	Q7857467
Q17865156	P167	Q100785342
Q18048386	P167	Q1329141
Q18155864	P1889	Q97005112
Q18333574	P2505	Q18291503
Q44395530	P527	Q37771013
Q59594583	P167	Q41791799
Q59616800	P167	Q7568623
Q60609128	P361	Q5910164
Q61080578	P527	Q109378658
Q61080578	P527	Q109378659
Q61080679	P361	Q1776733
Q26296919	P2673	Q26296953
Q26296919	P2674	Q101538355
Q26296953	P2674	Q26296919
Q26296953	P2673	Q6405251
Q26297055	P2674	Q28450685
Q26297055	P2673	Q101538355
Q26448854	P2674	Q101500042
Q26448854	P2673	Q101500080
Q26878968	P2674	Q5495612
Q27978681	P1398	Q59879299
Q28450697	P2674	Q16895163
Q28450697	P2673	Q26449693
Q107295320	P2673	Q107295266
Q107295320	P2674	Q107295023
Q107309241	P2673	Q107356528
Q107353242	P2673	Q107352948
Q107353242	P2674	Q107353289
Q107621572	P276	Q3980145
Q107621572	P155	Q107619768
Q107621572	P361	Q3980145
Q107621572	P156	Q107621825
Q107708985	P1889	Q107708952
Q107863972	P361	Q2340139
Q108155865	P1365	Q108732929
Q108177139	P361	Q11785801
Q108180644	P361	Q11785838
Q108189212	P361	Q12060093
Q108190705	P361	Q38233400
Q108263989	P361	Q108263499
Q108329335	P361	Q108329235
Q108363324	P2673	Q108364677
Q108363324	P2674	Q108365727
Q108422634	P2505	Q43396470
Q108431001	P1366	Q108430999
Q108462322	P361	Q12040558
Q108744812	P1365	Q108133099
Q108823013	P1398	Q108822936
Q108907298	P167	Q1311558
Q108915146	P2673	Q108915139
Q109190721	P2674	Q16510437
Q109286111	P361	Q109286376
Q109379630	P361	Q97210337
Q109379631	P361	Q97210337
Q109418376	P2673	Q109418646
Q109418376	P2674	Q109418748
Q109450997	P167	Q25426227
Q109451353	P361	Q28719648
Q109455237	P167	Q109455239
